"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
1.882018500E0,5.112578037E-1,1.069016033E0,3.104274000E-3,1.799999952E0,2.000000000E2
1.898679583E0,5.111275729E-1,1.068657587E0,3.103842000E-3,1.799999952E0,2.000000000E2
1.911175375E0,5.110618655E-1,1.068452507E0,3.103412000E-3,1.799999952E0,2.000000000E2
1.927836500E0,5.112397697E-1,1.069259387E0,3.102975000E-3,1.799999952E0,2.000000000E2
1.948662666E0,5.110204853E-1,1.068545644E0,3.102547000E-3,1.799999952E0,2.000000000E2
1.965319875E0,5.110245117E-1,1.068624707E0,3.102119000E-3,1.799999952E0,2.000000000E2
1.981985416E0,5.110630497E-1,1.069018231E0,3.101690000E-3,1.799999952E0,2.000000000E2
1.994481208E0,5.109483830E-1,1.068732424E0,3.101265000E-3,1.799999952E0,2.000000000E2
2.015307791E0,5.108144643E-1,1.068259981E0,3.100845000E-3,1.799999952E0,2.000000000E2
2.027803708E0,5.108630851E-1,1.068608689E0,3.100423000E-3,1.799999952E0,2.000000000E2
2.048630125E0,5.109883083E-1,1.069110185E0,3.099997000E-3,1.799999952E0,2.000000000E2
2.065291000E0,5.109588042E-1,1.069263429E0,3.099572000E-3,1.799999952E0,2.000000000E2
2.081952375E0,5.108696152E-1,1.068965813E0,3.099150000E-3,1.799999952E0,2.000000000E2
2.094448458E0,5.104030312E-1,1.067147845E0,3.098746000E-3,1.799999952E0,2.000000000E2
2.111109583E0,5.103138422E-1,1.066900118E0,3.098346000E-3,1.799999952E0,2.000000000E2
2.123605541E0,5.104075989E-1,1.067359828E0,3.097942000E-3,1.799999952E0,2.000000000E2
2.144432000E0,5.096830910E-1,1.064235194E0,3.097567000E-3,1.799999952E0,2.000000000E2
2.156927833E0,5.098614012E-1,1.064997777E0,3.097185000E-3,1.799999952E0,2.000000000E2
2.173588916E0,5.097154372E-1,1.064676269E0,3.096808000E-3,1.799999952E0,2.000000000E2
2.190250166E0,5.098191075E-1,1.065246754E0,3.096427000E-3,1.799999952E0,2.000000000E2
2.202745916E0,5.094074037E-1,1.063557518E0,3.096062000E-3,1.799999952E0,2.000000000E2
2.219407250E0,5.093092824E-1,1.063150299E0,3.095701000E-3,1.799999952E0,2.000000000E2
2.236068333E0,5.092864099E-1,1.063281878E0,3.095341000E-3,1.799999952E0,2.000000000E2
2.252729458E0,5.092419846E-1,1.063238241E0,3.094983000E-3,1.799999952E0,2.000000000E2
2.269390666E0,5.090844829E-1,1.062582978E0,3.094631000E-3,1.799999952E0,2.000000000E2
2.281886375E0,5.092004353E-1,1.063235211E0,3.094275000E-3,1.799999952E0,2.000000000E2
2.298547708E0,5.089911323E-1,1.062400632E0,3.093927000E-3,1.799999952E0,2.000000000E2
2.315208916E0,5.090190799E-1,1.062599513E0,3.093578000E-3,1.799999952E0,2.000000000E2
2.331870166E0,5.090806934E-1,1.062982222E0,3.093226000E-3,1.799999952E0,2.000000000E2
2.344366083E0,5.089771246E-1,1.062773581E0,3.092878000E-3,1.799999952E0,2.000000000E2
2.365192666E0,5.089517145E-1,1.062749486E0,3.092531000E-3,1.799999952E0,2.000000000E2
2.377688333E0,5.089581770E-1,1.062825484E0,3.092184000E-3,1.799999952E0,2.000000000E2
2.394349333E0,5.089277932E-1,1.062832959E0,3.091838000E-3,1.799999952E0,2.000000000E2
2.411010708E0,5.087244113E-1,1.062165504E0,3.091500000E-3,1.799999952E0,2.000000000E2
2.427671958E0,5.088154612E-1,1.062563776E0,3.091159000E-3,1.799999952E0,2.000000000E2
2.444333208E0,5.087376069E-1,1.062354053E0,3.090821000E-3,1.799999952E0,2.000000000E2
