"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
1.259450625E0,5.112273861E-1,1.058141125E0,3.194369000E-3,1.799999952E0,2.000000000E2
1.271946833E0,5.113150186E-1,1.058749448E0,3.193917000E-3,1.799999952E0,2.000000000E2
1.288608166E0,5.112095889E-1,1.058485223E0,3.193469000E-3,1.799999952E0,2.000000000E2
1.305269250E0,5.110041092E-1,1.057887718E0,3.193029000E-3,1.799999952E0,2.000000000E2
1.317765083E0,5.111540657E-1,1.058635660E0,3.192583000E-3,1.799999952E0,2.000000000E2
1.334426208E0,5.112030587E-1,1.058824912E0,3.192135000E-3,1.799999952E0,2.000000000E2
1.346922208E0,5.110738430E-1,1.058439665E0,3.191693000E-3,1.799999952E0,2.000000000E2
1.359418166E0,5.112196717E-1,1.059268039E0,3.191245000E-3,1.799999952E0,2.000000000E2
1.371914166E0,5.113216164E-1,1.059828421E0,3.190793000E-3,1.799999952E0,2.000000000E2
1.388575250E0,5.113079809E-1,1.059932643E0,3.190341000E-3,1.799999952E0,2.000000000E2
1.401071125E0,5.111852277E-1,1.059565153E0,3.189894000E-3,1.799999952E0,2.000000000E2
1.413567041E0,5.112790182E-1,1.059950606E0,3.189444000E-3,1.799999952E0,2.000000000E2
1.430228291E0,5.109719321E-1,1.058822098E0,3.189006000E-3,1.799999952E0,2.000000000E2
1.451054750E0,5.110104025E-1,1.059353627E0,3.188567000E-3,1.799999952E0,2.000000000E2
1.463550541E0,5.109386385E-1,1.059058726E0,3.188131000E-3,1.799999952E0,2.000000000E2
1.480211750E0,5.108993223E-1,1.058917109E0,3.187696000E-3,1.799999952E0,2.000000000E2
1.501037875E0,5.110103010E-1,1.059411672E0,3.187257000E-3,1.799999952E0,2.000000000E2
1.509369041E0,5.109018261E-1,1.059272914E0,3.186822000E-3,1.799999952E0,2.000000000E2
1.526030250E0,5.109551162E-1,1.059454318E0,3.186385000E-3,1.799999952E0,2.000000000E2
1.542691250E0,5.109740976E-1,1.059834339E0,3.185947000E-3,1.799999952E0,2.000000000E2
1.555187333E0,5.107569448E-1,1.058892140E0,3.185518000E-3,1.799999952E0,2.000000000E2
1.571848458E0,5.107066661E-1,1.058805986E0,3.185091000E-3,1.799999952E0,2.000000000E2
1.584344458E0,5.107230422E-1,1.059051694E0,3.184664000E-3,1.799999952E0,2.000000000E2
1.596840291E0,5.107588058E-1,1.059303221E0,3.184235000E-3,1.799999952E0,2.000000000E2
1.609336000E0,5.107306212E-1,1.059309857E0,3.183807000E-3,1.799999952E0,2.000000000E2
1.625997416E0,5.107335987E-1,1.059429379E0,3.183379000E-3,1.799999952E0,2.000000000E2
1.642658625E0,5.107006435E-1,1.059540787E0,3.182953000E-3,1.799999952E0,2.000000000E2
1.659319875E0,5.105878039E-1,1.059153347E0,3.182531000E-3,1.799999952E0,2.000000000E2
1.671815916E0,5.107319070E-1,1.059801725E0,3.182104000E-3,1.799999952E0,2.000000000E2
1.688476958E0,5.107042976E-1,1.059773281E0,3.181678000E-3,1.799999952E0,2.000000000E2
1.705138291E0,5.106534099E-1,1.059887909E0,3.181254000E-3,1.799999952E0,2.000000000E2
1.717634041E0,5.108086446E-1,1.060718219E0,3.180824000E-3,1.799999952E0,2.000000000E2
1.730129833E0,5.107789037E-1,1.060611240E0,3.180395000E-3,1.799999952E0,2.000000000E2
1.746791041E0,5.107279483E-1,1.060649683E0,3.179968000E-3,1.799999952E0,2.000000000E2
1.767617625E0,5.106444436E-1,1.060456155E0,3.179544000E-3,1.799999952E0,2.000000000E2
1.780113666E0,5.105440553E-1,1.060100723E0,3.179124000E-3,1.799999952E0,2.000000000E2
1.800940041E0,5.105819843E-1,1.060477111E0,3.178703000E-3,1.799999952E0,2.000000000E2
1.813435916E0,5.105265626E-1,1.060427085E0,3.178284000E-3,1.799999952E0,2.000000000E2
1.830097041E0,5.101709234E-1,1.058600725E0,3.177879000E-3,1.799999952E0,2.000000000E2
1.846758333E0,5.102286458E-1,1.059065945E0,3.177472000E-3,1.799999952E0,2.000000000E2
1.859254250E0,5.102553754E-1,1.059421754E0,3.177064000E-3,1.799999952E0,2.000000000E2
1.871750333E0,5.102566612E-1,1.059285448E0,3.176656000E-3,1.799999952E0,2.000000000E2
1.888411458E0,5.098583560E-1,1.057883582E0,3.176264000E-3,1.799999952E0,2.000000000E2
1.900907166E0,5.097701821E-1,1.057681180E0,3.175876000E-3,1.799999952E0,2.000000000E2
1.917568041E0,5.100003614E-1,1.058740139E0,3.175479000E-3,1.799999952E0,2.000000000E2
1.930064416E0,5.101330621E-1,1.059479997E0,3.175076000E-3,1.799999952E0,2.000000000E2
1.938395041E0,5.099587105E-1,1.058698104E0,3.174680000E-3,1.799999952E0,2.000000000E2
1.959221416E0,5.099277854E-1,1.058846834E0,3.174286000E-3,1.799999952E0,2.000000000E2
1.971717333E0,5.100132525E-1,1.059287644E0,3.173888000E-3,1.799999952E0,2.000000000E2
1.988378708E0,5.100704336E-1,1.059836513E0,3.173488000E-3,1.799999952E0,2.000000000E2
2.000874583E0,5.101106972E-1,1.059792168E0,3.173086000E-3,1.799999952E0,2.000000000E2
2.013370458E0,5.099851356E-1,1.059542437E0,3.172689000E-3,1.799999952E0,2.000000000E2
2.034196916E0,5.097199711E-1,1.058528214E0,3.172303000E-3,1.799999952E0,2.000000000E2
2.046692833E0,5.096507109E-1,1.058384407E0,3.171920000E-3,1.799999952E0,2.000000000E2
2.063354000E0,5.096941212E-1,1.058795918E0,3.171535000E-3,1.799999952E0,2.000000000E2
2.071684583E0,5.097659866E-1,1.059243826E0,3.171147000E-3,1.799999952E0,2.000000000E2
2.088345750E0,5.098584914E-1,1.059685958E0,3.170756000E-3,1.799999952E0,2.000000000E2
2.105007041E0,5.098582884E-1,1.059729006E0,3.170365000E-3,1.799999952E0,2.000000000E2
2.121668291E0,5.096726360E-1,1.059120377E0,3.169981000E-3,1.799999952E0,2.000000000E2
2.138329541E0,5.096520305E-1,1.059155272E0,3.169598000E-3,1.799999952E0,2.000000000E2
2.150825083E0,5.097328622E-1,1.059711494E0,3.169212000E-3,1.799999952E0,2.000000000E2
2.167486291E0,5.095136793E-1,1.058932678E0,3.168835000E-3,1.799999952E0,2.000000000E2
2.179982500E0,5.096500680E-1,1.059620399E0,3.168452000E-3,1.799999952E0,2.000000000E2
2.196643583E0,5.093363165E-1,1.058211160E0,3.168082000E-3,1.799999952E0,2.000000000E2
2.213304500E0,5.093416286E-1,1.058340574E0,3.167712000E-3,1.799999952E0,2.000000000E2
2.229966083E0,5.091418332E-1,1.057445708E0,3.167350000E-3,1.799999952E0,2.000000000E2
2.250792416E0,5.089963090E-1,1.056839692E0,3.166993000E-3,1.799999952E0,2.000000000E2
2.263288416E0,5.091159494E-1,1.057578348E0,3.166632000E-3,1.799999952E0,2.000000000E2
2.275784250E0,5.090918928E-1,1.057791156E0,3.166272000E-3,1.799999952E0,2.000000000E2
2.288280208E0,5.087788179E-1,1.056171810E0,3.165924000E-3,1.799999952E0,2.000000000E2
2.304941291E0,5.088311944E-1,1.056670702E0,3.165574000E-3,1.799999952E0,2.000000000E2
2.317437166E0,5.087560808E-1,1.056505275E0,3.165227000E-3,1.799999952E0,2.000000000E2
2.334098500E0,5.088504127E-1,1.056887304E0,3.164876000E-3,1.799999952E0,2.000000000E2
2.346594333E0,5.087872090E-1,1.056755164E0,3.164528000E-3,1.799999952E0,2.000000000E2
2.367420791E0,5.086169515E-1,1.056275763E0,3.164187000E-3,1.799999952E0,2.000000000E2
2.379916875E0,5.086039589E-1,1.056317612E0,3.163846000E-3,1.799999952E0,2.000000000E2
2.396578000E0,5.086201320E-1,1.056379644E0,3.163505000E-3,1.799999952E0,2.000000000E2
2.413239125E0,5.085991543E-1,1.056359279E0,3.163164000E-3,1.799999952E0,2.000000000E2
2.429900416E0,5.084528858E-1,1.056060468E0,3.162829000E-3,1.799999952E0,2.000000000E2
