"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
4.927862666E0,9.580415407E-2,7.149330892E0,6.977110000E-4,1.799999952E0,2.500000000E1
4.944523916E0,9.598770871E-2,7.179712512E0,6.971550000E-4,1.799999952E0,2.500000000E1
4.957019875E0,9.590769749E-2,7.182687377E0,6.966470000E-4,1.799999952E0,2.500000000E1
4.969515166E0,9.593732846E-2,7.188725657E0,6.961050000E-4,1.799999952E0,2.500000000E1
4.986176708E0,9.590384877E-2,7.192877137E0,6.954950000E-4,1.799999952E0,2.500000000E1
4.998672416E0,9.595960878E-2,7.200106943E0,6.948580000E-4,1.799999952E0,2.500000000E1
5.015333583E0,9.590724072E-2,7.206060229E0,6.942150000E-4,1.799999952E0,2.500000000E1
5.031994750E0,9.586730701E-2,7.209697401E0,6.936140000E-4,1.799999952E0,2.500000000E1
5.048656125E0,9.595667359E-2,7.218337801E0,6.930400000E-4,1.799999952E0,2.500000000E1
5.061152166E0,9.589286932E-2,7.220784608E0,6.924330000E-4,1.799999952E0,2.500000000E1
5.077813291E0,9.543139435E-2,7.145448897E0,6.919830000E-4,1.799999952E0,2.500000000E1
5.094474333E0,9.551507665E-2,7.157128236E0,6.914790000E-4,1.799999952E0,2.500000000E1
5.106970291E0,9.546094072E-2,7.114567704E0,6.949750000E-4,1.799999952E0,2.500000000E1
5.123631375E0,9.546862972E-2,7.121287922E0,6.944680000E-4,1.799999952E0,2.500000000E1
5.136127083E0,9.543447333E-2,7.126195616E0,6.939340000E-4,1.799999952E0,2.500000000E1
5.152788375E0,9.524361034E-2,7.102992483E0,6.934150000E-4,1.799999952E0,2.500000000E1
5.165284375E0,9.521558653E-2,7.106152150E0,6.929500000E-4,1.799999952E0,2.500000000E1
5.186110791E0,9.525911521E-2,7.112173668E0,6.924790000E-4,1.799999952E0,2.500000000E1
5.198606583E0,9.518951670E-2,7.115090880E0,6.920150000E-4,1.799999952E0,2.500000000E1
5.219433083E0,9.517177872E-2,7.103062490E0,6.915750000E-4,1.799999952E0,2.500000000E1
