"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
2.134968792E0,1.656066851E-1,3.198970431E0,2.184021000E-3,1.799999952E0,2.500000000E1
2.151630166E0,1.653933557E-1,3.195818445E0,2.182579000E-3,1.799999952E0,2.500000000E1
2.168291375E0,1.654893117E-1,3.181404483E0,2.191705000E-3,1.799999952E0,2.500000000E1
2.180787042E0,1.652977043E-1,3.163650598E0,2.200874000E-3,1.799999952E0,2.500000000E1
2.197448208E0,1.659106246E-1,3.184875340E0,2.199421000E-3,1.799999952E0,2.500000000E1
2.218274249E0,1.656865526E-1,3.183363257E0,2.197969000E-3,1.799999952E0,2.500000000E1
2.230770417E0,1.657127746E-1,3.184957628E0,2.196410000E-3,1.799999952E0,2.500000000E1
2.251596708E0,1.654949283E-1,3.179187675E0,2.194917000E-3,1.799999952E0,2.500000000E1
2.264092667E0,1.659644391E-1,3.200380589E0,2.193425000E-3,1.799999952E0,2.500000000E1
2.280753833E0,1.659766535E-1,3.187676129E0,2.202583000E-3,1.799999952E0,2.500000000E1
2.293249541E0,1.659336831E-1,3.171158418E0,2.211780000E-3,1.799999952E0,2.500000000E1
2.305745458E0,1.658183905E-1,3.172399040E0,2.210299000E-3,1.799999952E0,2.500000000E1
2.322402125E0,1.660882750E-1,3.180797320E0,2.208623000E-3,1.799999952E0,2.500000000E1
2.334902416E0,1.659477584E-1,3.164098093E0,2.217845000E-3,1.799999952E0,2.500000000E1
2.351563416E0,1.659111659E-1,3.164042381E0,2.216337000E-3,1.799999952E0,2.500000000E1
2.364059333E0,1.657537488E-1,3.149504050E0,2.225597000E-3,1.799999952E0,2.500000000E1
2.376555042E0,1.657831852E-1,3.134205735E0,2.234894000E-3,1.799999952E0,2.500000000E1
2.389050875E0,1.664984900E-1,3.144656890E0,2.244210000E-3,1.799999952E0,2.500000000E1
2.405712208E0,1.662639292E-1,3.141709893E0,2.242729000E-3,1.799999952E0,2.500000000E1
2.422373208E0,1.661431553E-1,3.140473102E0,2.241249000E-3,1.799999952E0,2.500000000E1
2.434869000E0,1.661595483E-1,3.142979369E0,2.239660000E-3,1.799999952E0,2.500000000E1
2.451529874E0,1.662297897E-1,3.128551424E0,2.249004000E-3,1.799999952E0,2.500000000E1
2.464025917E0,1.673537870E-1,3.172943270E0,2.247210000E-3,1.799999952E0,2.500000000E1
2.476521708E0,1.674522467E-1,3.174274781E0,2.245727000E-3,1.799999952E0,2.500000000E1
2.489017708E0,1.673287153E-1,3.156866642E0,2.255065000E-3,1.799999952E0,2.500000000E1
2.505678708E0,1.672132027E-1,3.156366969E0,2.253422000E-3,1.799999952E0,2.500000000E1
2.518173875E0,1.672232855E-1,3.157821825E0,2.251935000E-3,1.799999952E0,2.500000000E1
2.534835708E0,1.677892429E-1,3.180422825E0,2.250317000E-3,1.799999952E0,2.500000000E1
2.547331417E0,1.676477282E-1,3.180006252E0,2.248501000E-3,1.799999952E0,2.500000000E1
2.563992416E0,1.675823083E-1,3.165214447E0,2.257844000E-3,1.799999952E0,2.500000000E1
2.576488249E0,1.674603671E-1,3.147244776E0,2.267229000E-3,1.799999952E0,2.500000000E1
2.588984125E0,1.681035358E-1,3.169402519E0,2.265288000E-3,1.799999952E0,2.500000000E1
2.605645292E0,1.680482833E-1,3.156148578E0,2.274687000E-3,1.799999952E0,2.500000000E1
2.622306332E0,1.679949256E-1,3.155894528E0,2.272963000E-3,1.799999952E0,2.500000000E1
2.634801832E0,1.677401145E-1,3.152794199E0,2.271463000E-3,1.799999952E0,2.500000000E1
2.651463000E0,1.676579294E-1,3.151716512E0,2.269919000E-3,1.799999952E0,2.500000000E1
2.663959250E0,1.682688872E-1,3.174163857E0,2.268421000E-3,1.799999952E0,2.500000000E1
2.680620166E0,1.682430035E-1,3.173141842E0,2.266768000E-3,1.799999952E0,2.500000000E1
2.697281332E0,1.686148327E-1,3.185913584E0,2.264960000E-3,1.799999952E0,2.500000000E1
2.709777083E0,1.684579739E-1,3.186400957E0,2.263465000E-3,1.799999952E0,2.500000000E1
2.722272875E0,1.685144444E-1,3.188416097E0,2.261860000E-3,1.799999952E0,2.500000000E1
