"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
1.091199041E0,8.882006069E-2,1.946118913E-1,2.903457000E-3,1.799999952E0,2.000000000E2
1.103695083E0,8.887917036E-2,1.948338728E-1,2.901200000E-3,1.799999952E0,2.000000000E2
1.120356083E0,8.885729606E-2,1.950520028E-1,2.898883000E-3,1.799999952E0,2.000000000E2
1.137017458E0,8.878792594E-2,1.950022566E-1,2.896346000E-3,1.799999952E0,2.000000000E2
1.149513208E0,8.890249956E-2,1.940534109E-1,2.911229000E-3,1.799999952E0,2.000000000E2
1.166173874E0,8.893398299E-2,1.932599224E-1,2.926187000E-3,1.799999952E0,2.000000000E2
1.178670124E0,8.899586713E-2,1.935864142E-1,2.923654000E-3,1.799999952E0,2.000000000E2
1.195331416E0,8.899493667E-2,1.936314062E-1,2.920980000E-3,1.799999952E0,2.000000000E2
1.207827124E0,8.904533383E-2,1.940435404E-1,2.917793000E-3,1.799999952E0,2.000000000E2
1.220323124E0,8.902411932E-2,1.941103745E-1,2.915668000E-3,1.799999952E0,2.000000000E2
1.236984083E0,8.884037858E-2,1.927941349E-1,2.930653000E-3,1.799999952E0,2.000000000E2
1.253645166E0,8.920840141E-2,1.937053274E-1,2.928650000E-3,1.799999952E0,2.000000000E2
1.266141249E0,8.909406463E-2,1.942272054E-1,2.926029000E-3,1.799999952E0,2.000000000E2
1.278636999E0,8.913371074E-2,1.944915860E-1,2.922952000E-3,1.799999952E0,2.000000000E2
1.291132833E0,8.908436246E-2,1.945050630E-1,2.919964000E-3,1.799999952E0,2.000000000E2
1.307793791E0,8.902061740E-2,1.942973482E-1,2.917780000E-3,1.799999952E0,2.000000000E2
1.328620374E0,8.993932107E-2,1.974089353E-1,2.915884000E-3,1.799999952E0,2.000000000E2
1.345281458E0,8.987167653E-2,1.978156976E-1,2.912417000E-3,1.799999952E0,2.000000000E2
1.357777499E0,8.984755220E-2,1.981109189E-1,2.909495000E-3,1.799999952E0,2.000000000E2
1.374438458E0,8.990227179E-2,1.982729481E-1,2.906806000E-3,1.799999952E0,2.000000000E2
1.386934416E0,8.951788976E-2,1.969782183E-1,2.904632000E-3,1.799999952E0,2.000000000E2
1.403595541E0,8.940154826E-2,1.956723340E-1,2.919539000E-3,1.799999952E0,2.000000000E2
1.416091499E0,8.947512237E-2,1.947100450E-1,2.934520000E-3,1.799999952E0,2.000000000E2
1.432752666E0,8.941917627E-2,1.947131153E-1,2.932510000E-3,1.799999952E0,2.000000000E2
1.445248416E0,8.931379730E-2,1.947049141E-1,2.930231000E-3,1.799999952E0,2.000000000E2
1.457744249E0,8.916193755E-2,1.940983945E-1,2.928035000E-3,1.799999952E0,2.000000000E2
1.474405249E0,8.911893332E-2,1.945535813E-1,2.925070000E-3,1.799999952E0,2.000000000E2
1.495231749E0,8.936409296E-2,1.952564753E-1,2.921448000E-3,1.799999952E0,2.000000000E2
1.507727583E0,8.937994464E-2,1.953112676E-1,2.919492000E-3,1.799999952E0,2.000000000E2
1.524388791E0,8.909949514E-2,1.946766470E-1,2.917496000E-3,1.799999952E0,2.000000000E2
1.536884708E0,8.890106158E-2,1.945199943E-1,2.915641000E-3,1.799999952E0,2.000000000E2
1.553545708E0,8.882303817E-2,1.945914937E-1,2.913518000E-3,1.799999952E0,2.000000000E2
1.566041166E0,8.897270710E-2,1.952159433E-1,2.910196000E-3,1.799999952E0,2.000000000E2
1.578537333E0,8.908308519E-2,1.955616673E-1,2.908019000E-3,1.799999952E0,2.000000000E2
1.595198624E0,8.830769794E-2,1.928862338E-1,2.905831000E-3,1.799999952E0,2.000000000E2
1.607694333E0,8.818293154E-2,1.919314482E-1,2.920789000E-3,1.799999952E0,2.000000000E2
1.624355624E0,8.836673994E-2,1.910113104E-1,2.935817000E-3,1.799999952E0,2.000000000E2
1.636851458E0,8.831250250E-2,1.912218586E-1,2.933621000E-3,1.799999952E0,2.000000000E2
1.653512499E0,8.863865457E-2,1.910860459E-1,2.948705000E-3,1.799999952E0,2.000000000E2
1.666007708E0,8.839306354E-2,1.910691261E-1,2.946066000E-3,1.799999952E0,2.000000000E2
1.682669374E0,8.846917527E-2,1.901162829E-1,2.961220000E-3,1.799999952E0,2.000000000E2
1.699330708E0,8.859801879E-2,1.904676796E-1,2.959063000E-3,1.799999952E0,2.000000000E2
1.711826458E0,8.852026606E-2,1.904754013E-1,2.956646000E-3,1.799999952E0,2.000000000E2
1.732652958E0,8.905232921E-2,1.912040688E-1,2.971833000E-3,1.799999952E0,2.000000000E2
